GRID_NUM,CENTLAT,CENTLON,LFA,GridGrouping,Period1,Period2,Period3,Period4,Period1.Start,Period1.End,Period2.Start,Period2.End,Period3.Start,Period3.End,Period4.Start,Period4.End
348,45.695,-59.97,27,1,19,34,14,,5,5,6,6,7,7,,
349,45.761,-59.659,27,1,19,34,14,,5,5,6,6,7,7,,
350,46.023,-59.525,27,1,19,34,14,,5,5,6,6,7,7,,
351,46.271,-59.638,27,1,19,34,14,,5,5,6,6,7,7,,
352,46.37,-59.763,27,2,14,25,9,,5,5,6,6,7,7,,
353,46.39,-59.923,27,2,14,25,9,,5,5,6,6,7,7,,
354,46.411,-60.094,27,2,14,25,9,,5,5,6,6,7,7,,
355,46.368,-60.439,27,3,10,18,8,,5,5,6,6,7,7,,
356,46.426,-60.29,27,3,10,18,8,,5,5,6,6,7,7,,
357,46.572,-60.268,27,3,10,18,8,,5,5,6,6,7,7,,
358,46.687,-60.228,27,4,11,18,7,,5,5,6,6,7,7,,
359,46.866,-60.127,27,4,11,18,7,,5,5,6,6,7,7,,
360,47.036,-60.259,27,4,11,18,7,,5,5,6,6,7,7,,
361,47.1,-60.524,27,4,11,18,7,,5,5,6,6,7,7,,
362,47.199,-60.142,27,4,11,18,7,,5,5,6,6,7,7,,
363,46.088,-60.704,27,3,10,18,8,,5,5,6,6,7,7,,
364,46.097,-60.551,27,2,14,25,9,,5,5,6,6,7,7,,
365,45.882,-60.843,28,1,0,0,0,,5,5,6,6,7,7,,
366,45.917,-60.589,28,2,0,0,0,,5,5,6,6,7,7,,
367,45.789,-60.829,28,3,0,1,0,,5,5,6,6,7,7,,
368,45.772,-61.053,28,4,0,0,0,,5,5,6,6,7,7,,
341,45.562,-61.229,29,1,0,0,0,0,4,4,5,5,6,6,7,7
342,45.472,-61.16,29,2,1,4,4,0,4,4,5,5,6,6,7,7
343,45.494,-60.839,29,3,1,3,3,0,4,4,5,5,6,6,7,7
344,45.54,-60.76,29,4,1,6,5,1,4,4,5,5,6,6,7,7
345,45.52,-60.562,30,1,0,0,1,,5,5,6,6,7,7,,
346,45.549,-60.362,30,2,1,2,1,,5,5,6,6,7,7,,
347,45.581,-60.165,30,3,1,2,1,,5,5,6,6,7,7,,
323,44.547,-63.203,32,1,1,2,1,,4,4,5,5,6,6,,
324,44.463,-63.017,32,2,2,4,2,,4,4,5,5,6,6,,
325,44.48,-62.856,32,3,2,5,3,,4,4,5,5,6,6,,
326,44.491,-62.676,32,4,1,4,2,,4,4,5,5,6,6,,
327,44.553,-62.51,32,5,2,4,3,,4,4,5,5,6,6,,
328,44.604,-62.368,32,6,1,4,3,,4,4,5,5,6,6,,
329,44.661,-62.24,32,7,2,5,3,,4,4,5,5,6,6,,
330,44.713,-62.083,32,8,2,6,3,,4,4,5,5,6,6,,
301,43.465,-65.441,33,1,28,20,46,,11,12,1,3,4,5,,
302,43.513,-65.391,33,1,28,20,46,,11,12,1,3,4,5,,
303,43.562,-65.302,33,1,28,20,46,,11,12,1,3,4,5,,
304,43.653,-65.286,33,1,28,20,46,,11,12,1,3,4,5,,
305,43.687,-65.182,33,1,28,20,46,,11,12,1,3,4,5,,
